signal_id,vendor_id,vendor_name,date,source_type,source_name,url,text,provenance,risk_category,sentiment,maturity,classifier_confidence,is_about_vendor,classifier_reason,service,country,ubs_link,ubs_link_source,relationship_note,data_sensitivity,business_criticality,substitutability,dependency_index,credibility,maturity_weight,freshness,corroboration,n_sources,evidence_strength,likelihood,impact,inherent_risk,control_reduction,n_positive,residual_risk,maturity_cap,link_cap,tier,needs_human_review,tier_before_caps,explanation
I0140,V007,SIX Group,2026-07-27,audit_finding,audit_finding,,"Access recertification for SIX Group was overdue, with dormant privileged accounts still active on the engagement.",ILLUSTRATIVE,CYBER,risk,confirmed,0.98,True,Overdue access recertification and active dormant privileged accounts indicate a cybersecurity risk exposure.,Digital asset issuance venue,Switzerland,CONFIRMED,https://www.sdx.com/,UBS among issuers on the SIX Digital Exchange platform.,3,3,2,0.667,0.95,1.0,0.913,0.0,1,0.78,3.85,4.5,17.32,0.0,0,17.32,False,False,Critical,True,Critical,"CRITICAL (17.3/25, L3.9 x I4.5); CYBER signal, confirmed, from audit finding (credibility 0.95); 1 independent kind(s) of source in 365d; 57d old (freshness 0.91); UBS link: confirmed (UBS among issuers on the SIX Digital Exchange platform); data sensitivity 3/5; ILLUSTRATIVE evidence (demo data, not a public source); classifier: Overdue access recertification and active dormant privileged accounts indicate a cybersecurity risk exposure."
I0200,V012,Infosys,2026-07-20,incident_ticket,incident_ticket,,Phishing simulation across the Infosys engagement showed click rates above the agreed threshold.,ILLUSTRATIVE,CYBER,risk,corroborated,0.98,True,Phishing simulation results indicating elevated click rates above agreed thresholds represent a cybersecurity risk exposure for the vendor's engagement.,IT services & BPO,India,REPORTED,https://www.finews.com/news/english-news/46514-ubs-cognizant-technology-outsourcing-mike-dargan,Reported to have picked up consultants after the UBS-Cognizant wind-down. Not confirmed by UBS.,4,3,4,0.6,0.85,0.85,0.903,0.5,2,0.8,3.89,4.04,15.72,0.0,0,15.72,False,False,High,True,High,"HIGH (15.7/25, L3.9 x I4.0); CYBER signal, corroborated, from incident ticket (credibility 0.85); 2 independent kind(s) of source in 365d; 64d old (freshness 0.90); UBS link: reported (Reported to have picked up consultants after the UBS-Cognizant wind-down. Not confirmed by UBS); data sensitivity 4/5; ILLUSTRATIVE evidence (demo data, not a public source); classifier: Phishing simulation results indicating elevated click rates above agreed thresholds represent a cybersecurity risk exposure for the vendor's engagement."
I0102,V003,LSEG,2026-06-06,audit_finding,audit_finding,,"LSEG delivers the engagement from a single data centre, creating geographic concentration risk.",ILLUSTRATIVE,CONCENTRATION,risk,confirmed,1.0,True,"Single data centre delivery introduces geographic concentration risk, confirmed by internal audit finding.",Market data & analytics,UK,CONFIRMED,https://www.lseg.com/en/media-centre/press-releases/2025/ubs-lseg-announce-long-term-strategic-partnership,Multi-year data and analytics partnership announced July 2025.,3,5,2,0.8,0.95,1.0,0.842,0.0,1,0.782,3.64,4.25,15.47,0.0,0,15.47,False,False,High,True,High,"HIGH (15.5/25, L3.6 x I4.2); CONCENTRATION signal, confirmed, from audit finding (credibility 0.95); 1 independent kind(s) of source in 365d; 108d old (freshness 0.84); UBS link: confirmed (Multi-year data and analytics partnership announced July 2025); hard to replace (substitutability 2/5); ILLUSTRATIVE evidence (demo data, not a public source); classifier: Single data centre delivery introduces geographic concentration risk, confirmed by internal audit finding."
I0086,V002,Microsoft Corporation,2026-03-31,audit_finding,audit_finding,,Review notes vendor lock-in at Microsoft Corporation: proprietary data formats create high switching cost on exit.,ILLUSTRATIVE,CONCENTRATION,risk,confirmed,0.98,True,"Proprietary data formats and high switching costs indicate vendor lock-in, a concentration risk.",Cloud infrastructure & productivity,USA,CONFIRMED,https://www.ubs.com/global/en/media/display-page-ndp/en-20221020-cloud-partnership.html,"UBS named Azure its primary cloud; >50% of applications targeted, incl. critical workloads.",5,5,1,1.0,0.95,1.0,0.76,0.0,1,0.78,3.37,4.5,15.16,0.0,0,15.16,False,False,High,True,High,"HIGH (15.2/25, L3.4 x I4.5); CONCENTRATION signal, confirmed, from audit finding (credibility 0.95); 1 independent kind(s) of source in 365d; 175d old (freshness 0.76); UBS link: confirmed (UBS named Azure its primary cloud; >50% of applications targeted, incl. critical workloads); hard to replace (substitutability 1/5); ILLUSTRATIVE evidence (demo data, not a public source); classifier: Proprietary data formats and high switching costs indicate vendor lock-in, a concentration risk."
I0089,V002,Microsoft Corporation,2026-07-01,incident_ticket,incident_ticket,,Delivery delay at Microsoft Corporation pushed the migration milestone back by five weeks against the agreed plan.,ILLUSTRATIVE,OPERATIONAL,risk,confirmed,1.0,True,Delivery delay impacting project timeline indicates operational disruption or inefficiency at the vendor.,Cloud infrastructure & productivity,USA,CONFIRMED,https://www.ubs.com/global/en/media/display-page-ndp/en-20221020-cloud-partnership.html,"UBS named Azure its primary cloud; >50% of applications targeted, incl. critical workloads.",5,5,1,1.0,0.85,1.0,0.876,0.5,2,0.847,3.97,4.0,15.88,0.104,2,14.23,False,False,High,True,High,"HIGH (14.2/25, L4.0 x I4.0); OPERATIONAL signal, confirmed, from incident ticket (credibility 0.85); 2 independent kind(s) of source in 365d; 83d old (freshness 0.88); UBS link: confirmed (UBS named Azure its primary cloud; >50% of applications targeted, incl. critical workloads); hard to replace (substitutability 1/5); 2 positive signal(s) cut risk by 10%; ILLUSTRATIVE evidence (demo data, not a public source); classifier: Delivery delay impacting project timeline indicates operational disruption or inefficiency at the vendor."
I0083,V002,Microsoft Corporation,2026-06-08,incident_ticket,incident_ticket,,Escalation raised with Microsoft Corporation after missed SLA on incident response times in two consecutive reporting periods.,ILLUSTRATIVE,OPERATIONAL,risk,confirmed,0.98,True,"Missed SLA on incident response times indicates operational performance issues, confirmed by escalation.",Cloud infrastructure & productivity,USA,CONFIRMED,https://www.ubs.com/global/en/media/display-page-ndp/en-20221020-cloud-partnership.html,"UBS named Azure its primary cloud; >50% of applications targeted, incl. critical workloads.",5,5,1,1.0,0.85,1.0,0.845,0.5,2,0.844,3.85,4.0,15.4,0.104,2,13.8,False,False,High,True,High,"HIGH (13.8/25, L3.9 x I4.0); OPERATIONAL signal, confirmed, from incident ticket (credibility 0.85); 2 independent kind(s) of source in 365d; 106d old (freshness 0.84); UBS link: confirmed (UBS named Azure its primary cloud; >50% of applications targeted, incl. critical workloads); hard to replace (substitutability 1/5); 2 positive signal(s) cut risk by 10%; ILLUSTRATIVE evidence (demo data, not a public source); classifier: Missed SLA on incident response times indicates operational performance issues, confirmed by escalation."
I0130,V006,BlackRock,2026-01-02,audit_finding,audit_finding,,Review of systems in scope for BlackRock identified unpatched end-of-life software on internet-facing hosts.,ILLUSTRATIVE,CYBER,risk,confirmed,0.98,True,Unpatched end-of-life software on internet-facing hosts indicates a confirmed cybersecurity risk exposure.,Portfolio & risk platform,USA,REPORTED,https://www.swissinfo.ch/eng/ubs-ditches-blackrocks-aladdin-platform-to-cut-fund-unit-costs/89728633,UBS reported to have terminated the Aladdin contract in 2025 (press reporting).,4,4,3,0.733,0.95,1.0,0.666,0.0,1,0.78,3.08,4.25,13.09,0.0,0,13.09,False,False,High,True,High,"HIGH (13.1/25, L3.1 x I4.2); CYBER signal, confirmed, from audit finding (credibility 0.95); 1 independent kind(s) of source in 365d; 263d old (freshness 0.67); UBS link: reported (UBS reported to have terminated the Aladdin contract in 2025 (press reporting)); data sensitivity 4/5; ILLUSTRATIVE evidence (demo data, not a public source); classifier: Unpatched end-of-life software on internet-facing hosts indicates a confirmed cybersecurity risk exposure."
I0193,V012,Infosys,2025-11-25,audit_finding,audit_finding,,Review of systems in scope for Infosys identified unpatched end-of-life software on internet-facing hosts.,ILLUSTRATIVE,CYBER,risk,confirmed,0.98,True,"Unpatched end-of-life software on internet-facing hosts indicates a cybersecurity vulnerability, confirmed by audit findings.",IT services & BPO,India,REPORTED,https://www.finews.com/news/english-news/46514-ubs-cognizant-technology-outsourcing-mike-dargan,Reported to have picked up consultants after the UBS-Cognizant wind-down. Not confirmed by UBS.,4,3,4,0.6,0.95,1.0,0.63,0.5,2,0.88,3.22,4.04,13.01,0.0,0,13.01,False,False,High,True,High,"HIGH (13.0/25, L3.2 x I4.0); CYBER signal, confirmed, from audit finding (credibility 0.95); 2 independent kind(s) of source in 365d; 301d old (freshness 0.63); UBS link: reported (Reported to have picked up consultants after the UBS-Cognizant wind-down. Not confirmed by UBS); data sensitivity 4/5; ILLUSTRATIVE evidence (demo data, not a public source); classifier: Unpatched end-of-life software on internet-facing hosts indicates a cybersecurity vulnerability, confirmed by audit findings."
I0082,V002,Microsoft Corporation,2026-03-28,audit_finding,audit_finding,,"Engagement review noted key-person dependency at Microsoft Corporation, with a single named individual covering the critical integration.",ILLUSTRATIVE,OPERATIONAL,risk,corroborated,0.98,True,"Key-person dependency identified in a critical integration function, indicating operational risk exposure.",Cloud infrastructure & productivity,USA,CONFIRMED,https://www.ubs.com/global/en/media/display-page-ndp/en-20221020-cloud-partnership.html,"UBS named Azure its primary cloud; >50% of applications targeted, incl. critical workloads.",5,5,1,1.0,0.95,0.85,0.756,0.5,2,0.834,3.52,4.0,14.08,0.104,2,12.62,False,False,High,True,High,"HIGH (12.6/25, L3.5 x I4.0); OPERATIONAL signal, corroborated, from audit finding (credibility 0.95); 2 independent kind(s) of source in 365d; 178d old (freshness 0.76); UBS link: confirmed (UBS named Azure its primary cloud; >50% of applications targeted, incl. critical workloads); hard to replace (substitutability 1/5); 2 positive signal(s) cut risk by 10%; ILLUSTRATIVE evidence (demo data, not a public source); classifier: Key-person dependency identified in a critical integration function, indicating operational risk exposure."
R0036,V001,Chain IQ Group AG,2025-06-12,incident_ticket,INCIBE-CERT,https://www.incibe.es/en/incibe-cert/publications/cybersecurity-highlights/chain-iq-data-breach-affects-major-banks-and-companies-switzerland,Chain IQ Group AG was targeted in a cyberattack alongside 19 other companies. Chain IQ said the incident was contained after 8 hours and 45 minutes by revoking the attackers' access to the affected environment.,REAL,CYBER,risk,confirmed,0.98,True,"Explicit mention of a cyberattack targeting Chain IQ Group AG with confirmed containment details, indicating a verified cybersecurity risk.",Sourcing & procurement BPO,Switzerland,CONFIRMED,https://www.ubs.com/global/en/our-firm/suppliers/governance.html,Named by UBS as its strategic sourcing partner; spun off from UBS in 2013.,5,4,2,0.867,0.85,1.0,0.5,0.0,1,0.744,2.49,5.0,12.45,0.0,0,12.45,False,False,High,True,High,"HIGH (12.4/25, L2.5 x I5.0); CYBER signal, confirmed, from incident ticket (credibility 0.85); 1 independent kind(s) of source in 365d; 467d old (freshness 0.50); UBS link: confirmed (Named by UBS as its strategic sourcing partner; spun off from UBS in 2013); data sensitivity 5/5; classifier: Explicit mention of a cyberattack targeting Chain IQ Group AG with confirmed containment details, indicating a verified cybersecurity risk."
