vendor_id,name,aliases,service,country,ubs_link,ubs_link_source,relationship_note,data_sensitivity,business_criticality
V001,Chain IQ Group AG,Chain IQ Group AG|Chain IQ|ChainIQ,Sourcing & procurement BPO,Switzerland,CONFIRMED,https://www.ubs.com/global/en/our-firm/suppliers/governance.html,Named by UBS as its strategic sourcing partner; spun off from UBS in 2013.,5,4
V002,Microsoft Corporation,Microsoft Corporation|Microsoft Azure|Microsoft|Azure,Cloud infrastructure & productivity,USA,CONFIRMED,https://www.ubs.com/global/en/media/display-page-ndp/en-20221020-cloud-partnership.html,"UBS named Azure its primary cloud; >50% of applications targeted, incl. critical workloads.",5,5
V003,LSEG,London Stock Exchange Group|LSEG|Refinitiv,Market data & analytics,UK,CONFIRMED,https://www.lseg.com/en/media-centre/press-releases/2025/ubs-lseg-announce-long-term-strategic-partnership,Multi-year data and analytics partnership announced July 2025.,3,5
V004,Broadridge Financial Solutions,Broadridge Financial Solutions|Broadridge,Wealth platform & post-trade,USA,CONFIRMED,https://www.broadridge.com/press-release/2018/broadridge-and-ubs-americas-to-redefine-wm-technology,UBS Wealth Management USA anchor client; UBS also live on Broadridge DLR repo.,5,4
V005,Cognizant Technology Solutions,Cognizant Technology Solutions|Cognizant,IT & business process outsourcing,USA,CONFIRMED,https://news.cognizant.com/newsannouncements?item=20231,Acquired UBS India Service Centre in 2009; UBS later insourced and exited.,4,3
V006,BlackRock,BlackRock|Aladdin,Portfolio & risk platform,USA,REPORTED,https://www.swissinfo.ch/eng/ubs-ditches-blackrocks-aladdin-platform-to-cut-fund-unit-costs/89728633,UBS reported to have terminated the Aladdin contract in 2025 (press reporting).,4,4
V007,SIX Group,SIX Digital Exchange|SIX Group|SDX,Digital asset issuance venue,Switzerland,CONFIRMED,https://www.sdx.com/,UBS among issuers on the SIX Digital Exchange platform.,3,3
V008,ION Group,ION Cleared Derivatives|ION Group|ION Markets|ION Trading,Trading & derivatives software,UK,INDUSTRY,,Major trading-software provider to banks. No UBS relationship claimed.,4,5
V009,Capita plc,Capita plc|Capita,Business process outsourcing,UK,INDUSTRY,,Large UK outsourcer serving financial services. No UBS relationship claimed.,5,3
V010,CrowdStrike Holdings,CrowdStrike Holdings|CrowdStrike|Falcon,Endpoint security,USA,INDUSTRY,,Endpoint security vendor widely used in financial services. No UBS relationship claimed.,5,5
V011,Progress Software,Progress Software|MOVEit,Managed file transfer,USA,INDUSTRY,,"MOVEit file transfer, widely embedded in financial supply chains. No UBS relationship claimed.",5,3
V012,Infosys,Infosys McCamish Systems|Infosys McCamish|Infosys|McCamish,IT services & BPO,India,REPORTED,https://www.finews.com/news/english-news/46514-ubs-cognizant-technology-outsourcing-mike-dargan,Reported to have picked up consultants after the UBS-Cognizant wind-down. Not confirmed by UBS.,4,3
V013,Wirecard AG,Wirecard AG|Wirecard,Payment processing,Germany,INDUSTRY,,Former DAX payment processor; collapsed in 2020. No UBS relationship claimed.,5,4
V014,SolarWinds Corporation,SolarWinds Corporation|SolarWinds|Orion,IT monitoring software,USA,INDUSTRY,,IT monitoring software; subject of the 2020 Sunburst supply-chain compromise. No UBS relationship claimed.,4,4
V015,Equifax Inc.,Equifax Inc.|Equifax,Credit data & analytics,USA,INDUSTRY,,Credit bureau supplying data to financial institutions. No UBS relationship claimed.,5,4
