vendor_id,vendor_name,ubs_link,risk_category,tier,residual_risk,owner_team,inform,deadline,response,human_review_required,n_signals,n_real_sources,evidence_basis,why
V007,SIX Group,CONFIRMED,CYBER,Critical,17.32,Security & IT (Cyber Incident Response),Third-Party Risk Management (TPRM),2026-09-23 00:00,Escalate immediately; open incident; human review before any vendor contact,True,1,0,ILLUSTRATIVE demo data only,"CRITICAL (17.3/25, L3.9 x I4.5); CYBER signal, confirmed, from audit finding (credibility 0.95); 1 independent kind(s) of source in 365d; 57d old (freshness 0.91); UBS link: confirmed (UBS among issuers on the SIX Digital Exchange platform); data sensitivity 3/5; ILLUSTRATIVE evidence (demo data, not a public source); classifier: Overdue access recertification and active dormant privileged accounts indicate a cybersecurity risk exposure."
V012,Infosys,REPORTED,CYBER,High,15.72,Security & IT (Cyber Incident Response),Third-Party Risk Management (TPRM),2026-09-25 00:00,Notify owner team; request vendor statement/attestation,True,4,2,public sources,"HIGH (15.7/25, L3.9 x I4.0); CYBER signal, corroborated, from incident ticket (credibility 0.85); 2 independent kind(s) of source in 365d; 64d old (freshness 0.90); UBS link: reported (Reported to have picked up consultants after the UBS-Cognizant wind-down. Not confirmed by UBS); data sensitivity 4/5; ILLUSTRATIVE evidence (demo data, not a public source); classifier: Phishing simulation results indicating elevated click rates above agreed thresholds represent a cybersecurity risk exposure for the vendor's engagement."
V003,LSEG,CONFIRMED,CONCENTRATION,High,15.47,Procurement & Vendor Management (Concentration Risk),Third-Party Risk Management (TPRM),2026-09-25 00:00,Notify owner team; request vendor statement/attestation,True,3,1,public sources,"HIGH (15.5/25, L3.6 x I4.2); CONCENTRATION signal, confirmed, from audit finding (credibility 0.95); 1 independent kind(s) of source in 365d; 108d old (freshness 0.84); UBS link: confirmed (Multi-year data and analytics partnership announced July 2025); hard to replace (substitutability 2/5); ILLUSTRATIVE evidence (demo data, not a public source); classifier: Single data centre delivery introduces geographic concentration risk, confirmed by internal audit finding."
V002,Microsoft Corporation,CONFIRMED,CONCENTRATION,High,15.16,Procurement & Vendor Management (Concentration Risk),Third-Party Risk Management (TPRM),2026-09-25 00:00,Notify owner team; request vendor statement/attestation,True,3,1,public sources,"HIGH (15.2/25, L3.4 x I4.5); CONCENTRATION signal, confirmed, from audit finding (credibility 0.95); 1 independent kind(s) of source in 365d; 175d old (freshness 0.76); UBS link: confirmed (UBS named Azure its primary cloud; >50% of applications targeted, incl. critical workloads); hard to replace (substitutability 1/5); ILLUSTRATIVE evidence (demo data, not a public source); classifier: Proprietary data formats and high switching costs indicate vendor lock-in, a concentration risk."
V002,Microsoft Corporation,CONFIRMED,OPERATIONAL,High,14.23,Business Continuity / Service Management,Third-Party Risk Management (TPRM),2026-09-25 00:00,Notify owner team; request vendor statement/attestation,True,3,0,ILLUSTRATIVE demo data only,"HIGH (14.2/25, L4.0 x I4.0); OPERATIONAL signal, confirmed, from incident ticket (credibility 0.85); 2 independent kind(s) of source in 365d; 83d old (freshness 0.88); UBS link: confirmed (UBS named Azure its primary cloud; >50% of applications targeted, incl. critical workloads); hard to replace (substitutability 1/5); 2 positive signal(s) cut risk by 10%; ILLUSTRATIVE evidence (demo data, not a public source); classifier: Delivery delay impacting project timeline indicates operational disruption or inefficiency at the vendor."
V006,BlackRock,REPORTED,CYBER,High,13.09,Security & IT (Cyber Incident Response),Third-Party Risk Management (TPRM),2026-09-25 00:00,Notify owner team; request vendor statement/attestation,True,1,0,ILLUSTRATIVE demo data only,"HIGH (13.1/25, L3.1 x I4.2); CYBER signal, confirmed, from audit finding (credibility 0.95); 1 independent kind(s) of source in 365d; 263d old (freshness 0.67); UBS link: reported (UBS reported to have terminated the Aladdin contract in 2025 (press reporting)); data sensitivity 4/5; ILLUSTRATIVE evidence (demo data, not a public source); classifier: Unpatched end-of-life software on internet-facing hosts indicates a confirmed cybersecurity risk exposure."
V001,Chain IQ Group AG,CONFIRMED,CYBER,High,12.45,Security & IT (Cyber Incident Response),Third-Party Risk Management (TPRM),2026-09-25 00:00,Notify owner team; request vendor statement/attestation,True,6,6,public sources,"HIGH (12.4/25, L2.5 x I5.0); CYBER signal, confirmed, from incident ticket (credibility 0.85); 1 independent kind(s) of source in 365d; 467d old (freshness 0.50); UBS link: confirmed (Named by UBS as its strategic sourcing partner; spun off from UBS in 2013); data sensitivity 5/5; classifier: Explicit mention of a cyberattack targeting Chain IQ Group AG with confirmed containment details, indicating a verified cybersecurity risk."
V004,Broadridge Financial Solutions,CONFIRMED,CONCENTRATION,High,12.4,Procurement & Vendor Management (Concentration Risk),Third-Party Risk Management (TPRM),2026-09-25 00:00,Notify owner team; request vendor statement/attestation,True,2,0,ILLUSTRATIVE demo data only,"HIGH (12.4/25, L3.1 x I4.0); CONCENTRATION signal, confirmed, from vendor questionnaire (credibility 0.55); 1 independent kind(s) of source in 365d; 127d old (freshness 0.82); UBS link: confirmed (UBS Wealth Management USA anchor client; UBS also live on Broadridge DLR repo); hard to replace (substitutability 2/5); ILLUSTRATIVE evidence (demo data, not a public source); classifier: Single fourth-party dependency for core delivery introduces concentration risk due to sole sourcing and geographic limitation."
V001,Chain IQ Group AG,CONFIRMED,COMPLIANCE,High,12.33,Audit & Compliance,Third-Party Risk Management (TPRM),2026-09-25 00:00,Notify owner team; request vendor statement/attestation,True,1,0,ILLUSTRATIVE demo data only,"HIGH (12.3/25, L2.9 x I4.8); COMPLIANCE signal, corroborated, from audit finding (credibility 0.95); 1 independent kind(s) of source in 365d; 277d old (freshness 0.65); UBS link: confirmed (Named by UBS as its strategic sourcing partner; spun off from UBS in 2013); data sensitivity 5/5; 3 positive signal(s) cut risk by 11%; ILLUSTRATIVE evidence (demo data, not a public source); classifier: Audit finding indicates missing documented evidence for agreed data-residency controls, which is a compliance deficiency."
V003,LSEG,CONFIRMED,COMPLIANCE,High,11.8,Audit & Compliance,Third-Party Risk Management (TPRM),2026-09-25 00:00,Notify owner team; request vendor statement/attestation,True,1,0,ILLUSTRATIVE demo data only,"HIGH (11.8/25, L3.2 x I4.5); COMPLIANCE signal, corroborated, from audit finding (credibility 0.95); 1 independent kind(s) of source in 365d; 196d old (freshness 0.74); UBS link: confirmed (Multi-year data and analytics partnership announced July 2025); data sensitivity 3/5; 3 positive signal(s) cut risk by 17%; ILLUSTRATIVE evidence (demo data, not a public source); classifier: Audit finding indicates missing documented evidence for agreed data-residency controls, which is a compliance gap."
